Date,Predicted Sales,Lower Bound,Upper Bound
2016-11-10,2218.7659913057905,-598.1913538513054,5085.201104844392
2016-11-11,2861.8281460418116,199.00517656024337,5567.863910271905
2016-11-12,3321.863551983049,625.5530602286251,6035.173853865387
2016-11-13,3094.2492160937327,226.43336107548285,5675.290222277337
2016-11-14,2975.8060956772288,255.60157526236708,5716.541578011491
2016-11-15,3314.2541161989493,591.2637104560749,5930.419535149459
2016-11-16,2855.9005516468987,-23.792321346475436,5526.795050021761
2016-11-17,2260.5391526193557,-460.9948663110702,5083.529992485752
2016-11-19,3273.364144042027,554.3392944279587,6137.38493191441
2016-11-20,3006.559794181745,190.4686646707396,5743.060480424011
2016-11-21,2853.8830923909118,73.04581405845869,5614.4476785700635
2016-11-22,3163.4099789414913,421.9147041207534,5881.612725510784
2016-11-23,2681.8350273283468,-135.14728661926537,5264.149414631882
2016-11-24,2069.211439793303,-587.2107891590622,4857.823290987835
2016-11-25,2654.2096400323044,-34.473708450121634,5435.413506257108
2016-11-26,3065.74494427795,515.2301593631474,5665.249935389793
2016-11-27,2799.7362704275247,234.89179139127418,5531.8302550858525
2016-11-28,2653.3152358345214,-321.30771611522596,5396.701044139057
2016-11-29,2974.271474576938,503.5972004319861,5705.7079223542305
2016-11-30,2508.7364982315707,-251.31956498346437,5490.121016395611
2016-12-01,1916.083758033171,-831.5956540553043,4570.585655122251
2016-12-03,2961.1372468566724,362.79582400108643,5761.644901540134
2016-12-04,2721.876289309139,-106.73071232628955,5489.8037961100035
2016-12-05,2602.5718819744675,-233.63085815421678,5477.885020147311
2016-12-06,2950.0137651278155,363.19693627823966,5474.461047798486
2016-12-07,2509.336066240011,-107.44666142137264,5269.523885005437
2016-12-08,1938.9419310327016,-741.2006597654096,4926.19566158973
2016-12-09,2565.800816324191,-207.76301509479458,5517.090784923371
2016-12-10,3017.1169274503213,71.36839222817748,5865.0810537868665
2016-12-11,2787.129828887742,-149.45778504297283,5428.970936067669
2016-12-12,2671.3655928545713,-34.20616700794103,5444.03086665307
2016-12-13,3016.123299176138,341.0669791432947,5783.181190603696
2016-12-14,2566.1981864800223,-70.27643662150258,5347.746168910886
2016-12-15,1979.818107908562,-715.1551307210693,4630.808616568573
2016-12-16,2583.948887880367,4.4225596568137355,5413.8832635833205
2016-12-17,3005.966776497956,217.83314887684358,5815.395055326675
2016-12-18,2740.458839020577,-10.492973347127515,5426.301309694198
2016-12-19,2583.469556033568,-77.86240986870904,5508.897668769614
2016-12-20,2881.9784653451193,121.5026615870267,5590.263375200903
2016-12-21,2381.610272306378,-426.3400744251023,5194.959539033737
2016-12-22,1741.5543164430148,-961.6266522369323,4409.507401460412
2016-12-23,2289.8493302012107,-367.10609950225825,4834.324688699383
2016-12-24,2655.0321237435564,73.44974125193184,5508.951771406278
2016-12-25,2332.911559553675,-386.65377451049346,4858.51154318934
2016-12-26,2120.786696179105,-728.4588922109665,4836.725229858632
2016-12-27,2366.894599394151,-22.78260071097283,5104.72710146645
2016-12-28,1818.0899623413582,-1062.9357194627926,4502.060640727965
2016-12-30,1645.9504858894036,-992.5590537341512,4388.054921797417
2016-12-31,1981.2447897387444,-813.3756928045503,4542.226827975597
2017-01-02,1412.176549169043,-1279.7406242304287,4098.274501670973
2017-01-03,1654.3778026977561,-1081.6470848267948,4340.517471483921
2017-01-04,1111.1136982640646,-1439.54755841895,3785.6201473861024
2017-01-05,442.8211197846981,-2284.8006265338126,3192.7204973399303
2017-01-07,1347.260493794059,-1351.4985816495011,4073.59373028937
2017-01-08,1045.2227157209652,-1727.4017888688024,3728.1206668974864
2017-01-09,869.5758102967728,-1980.789323726375,3409.6724927881046
2017-01-10,1168.0950403057102,-1511.81157763234,3923.979253137898
2017-01-11,686.8116200821296,-2002.2310263666784,3336.5930895268048
2017-01-14,1129.877599238237,-1553.8268036587021,3581.544580622612
2017-01-15,899.0375222059821,-1743.2684297672374,3697.7471068487807
2017-01-16,793.2150036115088,-2121.5391927184883,3543.567749771692
2017-01-17,1158.7062878501408,-1568.927708749669,3709.7518775529975
2017-01-21,1333.0087364965682,-1364.0583414613561,3610.900765601974
2017-01-22,1135.880542929497,-1478.56325704487,3973.3541402946853
2017-01-23,1054.3827324553222,-1582.6155244738547,3546.3377253236026
2017-01-24,1434.3685796433233,-1214.5047762874347,4108.052943380544
2017-01-25,1020.2387751932068,-1542.1596055526877,3774.207175897487
2017-01-28,1567.7669685727308,-1176.1951766117274,4261.325854317293
